Time, Value
0,0147787,0
0,0284559,0
0,0417534,0
0,0554114,0
0,0694544,0
0,083505,0
0,09727041,0
0,1111313,0
0,1253706,0
0,1396185,0
0,1532749,0
0,1672371,0
0,181078,0
0,1948842,0
0,2091161,0
0,2229807,0
0,2369272,0
0,2507174,0
0,2647755,0
0,278671,0
0,2925673,0
0,3067654,0
0,320601,0
0,3344677,0
0,3484555,0
0,3624733,0
0,376367,0
0,3903947,0
0,4042665,0
0,4181144,0
0,4318483,0
0,4459664,0
0,4599873,0
0,4737625,0
0,4876937,0
0,5016571,0
0,5153447,0
0,5295207,0
0,5434726,0
0,5575682,0
0,571226,0
0,5852621,0
0,5990874,0
0,6128835,0
0,6269586,0
0,6410969,0
0,6547398,0
0,6686992,0
0,6825778,0
0,6965977,0
0,7105151,0
0,7244358,0
0,7382837,0
0,7521202,0
0,7662032,0
0,7800729,0
0,7937592,0
0,8079112,0
0,8219048,0
0,8356318,0
0,8497574,0
0,8635638,0
0,8774751,0
0,8913388,0
0,9055398,0
0,9193646,0
0,9330766,0
0,9470809,0
0,9610925,0
0,9747857,0
0,9888154,0
1,002873,0
1,016723,0
1,030373,0
1,044659,0
1,058538,0
1,072254,0
1,086272,0
1,100269,0
1,114044,0
1,128196,0
1,142291,0
1,15595,0
1,169983,0
1,184032,0
1,197874,0
1,211732,0
1,225784,0
1,239742,0
1,253538,0
1,267657,0
1,281503,0
1,295372,0
1,309493,0
1,323456,0
1,337492,0
1,351135,0
1,365396,0
1,3792,0
1,393012,0
1,407009,0
1,421029,0
1,434781,0
1,448954,0
1,462818,0
1,476712,0
1,490533,0
1,504614,0
1,518569,0
1,532346,0
1,54642,0
1,560365,0
1,574217,0
1,588266,0
1,602153,0
1,615957,0
1,630055,0
1,644211,0
1,65789,0
1,671693,0
1,685802,0
1,699688,0
1,713477,0
1,728088,0
1,741839,0
1,755271,0
1,769281,0
1,783231,0
1,79715,0
1,810869,0
1,825147,0
1,839124,0
1,852771,0
1,866829,0
1,880706,0
1,894516,0
1,908622,0
1,922793,0
1,936527,0
1,950387,0
1,964363,0
1,978259,0
1,992033,0
2,006095,0
2,020248,0
2,033823,0
2,047874,0
2,061911,0
2,075632,0
2,089718,0
2,103848,0
2,11756,0
2,131307,0
2,145507,0
2,159428,0
2,173136,0
2,187394,0
2,201558,0
2,215054,0
2,229178,0
2,243095,0
2,257036,0
2,270877,0
2,284915,0
2,298893,0
2,312309,0
2,326381,0
2,340191,0
2,35398,0
2,368388,0
2,382055,0
2,395789,0
2,409898,0
2,423809,0
2,437875,0
2,451571,0
2,465436,0
2,479478,0
2,493347,0
2,50737,0
2,521317,0
2,535178,0
2,549306,0
2,56308,0
2,577041,0
2,590867,0
2,604887,0
2,61871,0
2,632538,0
2,646605,0
2,660556,0
2,674274,0
2,68846,0
2,702292,0
2,716122,0
2,730115,0
2,744066,0
2,758015,0
2,771817,0
2,786013,0
2,799858,0
2,813442,0
2,827526,0
2,841721,0
2,855377,0
2,869427,0
2,8833,0
2,897278,0
2,911054,0
2,925088,0
2,939021,0
2,952798,0
2,966949,0
2,980713,0
2,994671,0
3,00866,0
3,022681,0
3,036464,0
3,050355,0
3,064449,0
3,078336,0
3,092198,0
3,106233,0
3,120126,0
3,133899,0
3,148027,0
3,161928,0
3,175681,0
3,189745,0
3,203817,0
3,217572,0
3,231422,0
3,245539,0
3,259386,0
3,273129,0
3,287257,0
3,301348,0
3,314922,0
3,328999,0
3,342882,0
3,356877,0
3,37074,0
3,38491,0
3,398698,0
3,412417,0
3,426471,0
3,440466,0
3,454268,0
3,468311,0
3,48218,0
3,49609,0
3,510069,0
3,524,0
3,537856,0
3,551822,0
3,565776,0
3,579705,0
3,593436,0
3,607546,0
3,621412,0
3,635196,0
3,649231,0
3,663221,0
3,677217,0
3,691033,0
3,705094,0
3,71901,0
3,732751,0
3,746832,0
3,760786,0
3,77458,0
3,788645,0
3,802583,0
3,81642,0
3,830167,0
3,844282,0
3,858184,0
3,87194,0
3,886056,0
3,899951,0
3,91379,0
3,927886,0
3,941711,0
3,955627,0
3,969523,0
3,983492,0
3,997416,0
4,011204,0
4,025235,0
4,039233,0
4,053064,0
4,067122,0
4,081016,0
4,094801,0
4,108837,0
4,122781,0
4,136704,0
4,150544,0
4,164529,0
4,178449,0
4,192228,0
4,206377,0
4,220254,0
4,234019,0
4,248058,0
4,261972,0
4,275805,0
4,289885,0
4,303875,0
4,317774,0
4,331425,0
4,345555,0
4,359586,0
4,373446,0
4,387592,0
4,401354,0
4,414996,0
4,429104,0
4,443069,0
4,456955,0
4,470872,0
4,48479,0
4,498698,0
4,512538,0
4,526584,0
4,540448,0
4,55422,0
4,568275,0
4,582238,0
4,596033,0
4,61021,0
4,624082,0
4,637939,0